Supplier_ID,Supplier_Name,Country_of_Distribution
1,Taylor and Sons,BH
2,"Fischer, Harper and Collins",PG
3,"Burns, Brewer and Valdez",SE
4,Li-Harris,HU
5,Thompson-Medina,PS
6,Brock Ltd,IQ
7,Rocha-Harris,SA
8,"Andrade, Boone and Alvarez",KP
9,Hurst Ltd,BR
10,Owens-Morrison,LY
11,"Jones, Bradley and Davis",CF
12,"Nichols, Mejia and Smith",BN
13,"Miller, Jones and Moyer",MN
14,Good and Sons,TW
15,Rodgers-Johnston,LR
16,"Potts, Allen and Jones",OM
17,"Franklin, Weber and Parrish",TJ
18,"Carter, Martinez and Sullivan",HR
19,Ryan and Sons,SD
20,"Paul, King and Nichols",KZ
21,Marshall-Patterson,LA
22,Carr-Griffith,CI
23,"Russell, Newman and Long",UA
24,Reed-Long,SZ
25,"Walters, Mcguire and Hampton",LC
26,Martinez and Sons,DM
27,Whitehead-Berg,AZ
28,"Ross, Hopkins and Thomas",TV
29,Garza-Scott,AO
30,Williams-Turner,TJ
31,Taylor-Anderson,NO
32,Rivera-Edwards,BD
33,Johns Group,AD
34,"Guzman, Page and Gregory",CO
35,Gordon Inc,PS
